date,locality,state,resolved_locality,resolved_state,resolved_county,fips_code,lat,lon,location,title,event_type,organizations,participants,notables,targets,claims_summary,claims_verbatim,issue_tags_summary,issue_tags_verbatim,issues,valence,conf,macroevent,online,size_text,size_low,size_high,size_mean,size_cat,participant_measures,police_measures,participant_injuries,police_injuries,arrests,property_damage,arrests_any,participant_casualties_any,police_casualties_any,property_damage_any,participant_deaths,police_deaths,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30,participants_numeric,claims_summary_norm,claims_summary_clean,trump_stance,pos_phrase_matches,neg_phrase_matches,pos_keyword_matches,neg_keyword_matches,no_participant_injuries,no_police_injuries,no_arrests,no_property_damage,no_participant_casualties,no_police_casualties,no_participant_deaths,no_police_deaths
2025-01-15,Washington,DC,Washington,DC,District of Columbia,11001.0,38.9071923,-77.0368707,U.S. Capitol,"Oil CEOs Profit, LA Burns",rally; civil disobedience,sunrise movement; shut down dc,,,donald trump; liberty energy ceo chris wright,against donald trump's nomination of liberty energy oil executive chris wright for u.s. secretary of energy; for climate action,reject chris wright; big oil profits / la burns; i won't let my future burn,energy; environment; war and peace; presidency,energy; war and peace,energy;environment;presidency;war and peace,1.0,1.0,,0,count video,30.0,35.0,32.0,1,rallied outside capitol ahead of confirmation hearing; some protesters disrupted confirmation hearing with shouting and signs five times,on scene; removed protesters from hearing room,0.0,0.0,10.0,0.0,1,0,0,0,0.0,0.0,,JU,www.instagram.com,www.instagram.com,www.instagram.com,www.instagram.com,www.commondreams.org,www.instagram.com,,,,,,,,,,,,,,,,,,,,,,,,,32.0,against donald trump's nomination of liberty energy oil executive chris wright for u.s. secretary of energy; for climate action,against trump nomination liberty energy oil executive chris wright for secretary energy for climate action,Against,0,1,0,1,True,True,False,True,True,True,True,True
2025-01-21,Portland,OR,Portland,OR,Multnomah County,41051.0,45.515232,-122.6783853,Battleship Oregon Memorial,The People's Inauguration Day,rally; march,american party of labor pnw; bayan oregon; clown bloc pdx; communist party usa; freedom road socialist organization; healthcare workers 4 palestine pdx; international coalition for human rights in the philippines - portland; international league of peoples' struggles; international migrants alliance; international women's alliance; jewish voice for peace; kalikasan solidarity organization; letters for palestine; resist u.s.-led war pdx; workers world party,,,,against inauguration of donald trump as u.s. president; against fascism; for health care; for housing; for education; against war; against repression; against genocide,"philippines flag; u.s. out of the philippines; let gaza live; we need health, housing, education; defend migrant rights; defend filipino migrants; upside-down american flag; trump [donald trump with devil's horns]; netanyahu [benjamin netanyahu with devil's horns]; marcos [bongbong marcos with devil's horns]; u.s. imperialists / #1 terrorists; hate doesn't equal great; our government our choice",democracy; education; healthcare; housing; war and peace; presidency,education; foreign affairs; healthcare; housing; immigration; war and peace; presidency; racism,democracy;education;foreign affairs;healthcare;housing;immigration;presidency;racism;war and peace,1.0,1.0,,0,over 600,600.0,600.0,600.0,2,"megaphone; lead organizers decided not to march, but some rally participants chose to march autonomously, and some participants in that march tagged things along the way",on scene; bicycles; swarmed and arrested participants in march,0.0,0.0,5.0,0.0,1,0,0,1,0.0,0.0,,JU; ML,www.instagram.com,x.com,x.com,x.com,www.instagram.com,www.portlandtribune.com,www.kgw.com,www.kgw.com,www.oregonlive.com,,,,,,,,,,,,,,,,,,,,,,600.0,against inauguration of donald trump as u.s. president; against fascism; for health care; for housing; for education; against war; against repression; against genocide,against inauguration trump president against fascism for health care for housing for education against war against repression against genocide,Against,0,1,0,6,True,True,False,False,True,True,True,True
2025-02-03,New York,NY,New York,NY,,36061.0,40.7127753,-74.0059728,"St. Vartan Park, Manhattan",Rally to Protect Trans Kids,rally,nyc dsa; nyu ydsa; jews for racial & economic justice; nyu sds; act up; contract faculty united; queer union; gemstones; brown sugar brilliance; uaw,elected officials,Qween Jean; Cynthia Nixon; City Council member Tiffany Caban,nyu langone hospital,against nyu langone hospital's compliance with president trump's executive order banning gender-affirming health care for transgender youth,"trans pride flag; trans! power! trans! power!; we're asking for the right to be alive!; gender-affirming care is life-saving care; feel the urgency / break the silence; we see trans lives in danger; labor defend women's, gay, lesbian, and trans rights; defend trans rights; what about your hippocratic oath? protect trans kids; protect trans futures; rainbow pride flag; shame on you nyu / first do no harm to trans kids; fuck trump; palestine flag; lebanon flag; progress pride flag; practice medicine not capitulation; trans rights are human rights; witholding healthcare kills; disrupt. disobey.; nyu shame on you!; when trans kids are under attack what do we do! stand up fight back!; queer rebellion; let trans kids live; our body our choice; we will not be erased",healthcare; lgbtqia; war and peace; presidency; women's rights,foreign affairs; healthcare; labor and workers rights; lgbtqia; war and peace; presidency; women's rights,foreign affairs;healthcare;labor and workers rights;lgbtqia;presidency;war and peace;women's rights,1.0,1.0,20250203-nycnyu-transhealth,0,"over 1,000; 1,000+",1000.0,1000.0,1000.0,3,amplified sound; heckled counter-protesters,on scene; barricades,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,,JU,www.instagram.com,x.com,www.instagram.com,www.instagram.com,x.com,x.com,x.com,x.com,www.instagram.com,,,,,,,,,,,,,,,,,,,,,,1000.0,against nyu langone hospital's compliance with president trump's executive order banning gender-affirming health care for transgender youth,against nyu langone hospital compliance trump executive order ban gender-affirme health care for transgender youth,Against,0,0,0,1,True,True,False,True,True,True,True,True
2025-02-04,Glendale,AZ,Glendale,AZ,Maricopa County,4013.0,33.538652,-112.185987,Westgate Entertainment District,,rally,,,,president trump,against president trump; against ice raids and immigrant deportations,fuck trump; my people aren't criminals / trump is; mexico flag; usa flag; immigrants made america,immigration; war and peace; presidency,foreign affairs; immigration; war and peace; patriotism; presidency,foreign affairs;immigration;patriotism;presidency;war and peace,1.0,1.0,,0,over 100; hundreds,200.0,200.0,200.0,2,marched through streets,on scene; released 'chemical agent' to disperse the crowd,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,participant arrested for alleged criminal traffic violation,ML,www.azcentral.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,against president trump; against ice raids and immigrant deportations,against trump against ice raid immigrant deportation,Against,0,2,0,2,True,True,False,True,True,True,True,True
2025-02-05,Des Moines,IA,Des Moines,IA,Polk County,19153.0,41.586835,-93.624959,Iowa State Capitol,,rally,50501 movement,,,president trump; elon musk,against president trump; against project 2025,stop the coup; disarm hate; trans lives matter; musk hands off our $$$; impeach trump 3x a charm; liberty and justice for all; no elon musk; musk must go,democracy; war and peace; presidency,democracy; lgbtqia; war and peace; presidency; racism,democracy;lgbtqia;presidency;racism;war and peace,1.0,1.0,,0,hundreds,200.0,200.0,200.0,2,,on scene,0.0,0.0,3.0,0.0,1,0,0,0,0.0,0.0,,SH; ML,events.pol-rev.com,www.desmoinesregister.com,www.desmoinesregister.com,www.desmoinesregister.com,www.kcrg.com,www.kcci.com,,,,,,,,,,,,,,,,,,,,,,,,,200.0,against president trump; against project 2025,against trump against project,Against,0,2,0,2,True,True,False,True,True,True,True,True
2025-02-06,Washington,DC,Washington,DC,District of Columbia,11001.0,38.9071923,-77.0368707,U.S. Department of State,Rally for AIDS Relief,rally; march; civil disobedience,act up; health gap; housing works; treatment action group,,,,against president trump's attacks on usaid and president's emergency plan for aids relief; for u.s. aid for aids relief,trump & rubio hands of pepfar; rubio: killing people with aids worldwide; what oversight?; restore pepfar; hands off pepfar! hands off pepfar!; trump's aids cuts kill; trump & rubio killing people with aids worldwide,healthcare; war and peace; presidency,healthcare; war and peace; presidency,healthcare;presidency;war and peace,0.0,1.0,,0,dozens,24.0,24.0,24.0,1,some demonstrators sat in roadway with signs and refused police instructions to move,on scene; bicycles; carried some demonstrators out of roadway,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,,JU,www.instagram.com,www.instagram.com,www.instagram.com,www.instagram.com,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,against president trump's attacks on usaid and president's emergency plan for aids relief; for u.s. aid for aids relief,against trump attack usaid president emergency plan for aids relief for aid for aids relief,Against,0,1,0,1,True,True,False,True,True,True,True,True
2025-02-07,Los Angeles,CA,Los Angeles,CA,Los Angeles County,6037.0,34.052234,-118.243685,1st St & Soto St; Los Angeles City Hall,Defeat Donald Trump,rally; march,bamn,,,president trump,against president trump; against ice raids and immigrant deportations,,immigration; war and peace; presidency,,immigration;presidency;war and peace,1.0,1.0,,0,,,,,0,,,1.0,0.0,1.0,0.0,1,1,0,0,0.0,0.0,news reproted a stabbing of a 17-year-old participant by a person wasn't a part of the demonstration; as of 2/12 police arrested a 14-year old boy for the stabbing and have charged him with attempted murder,JU; SH; ML,www.instagram.com,www.foxla.com,www.foxla.com,abc7.com,www.cbsnews.com,www.foxla.com,,,,,,,,,,,,,,,,,,,,,,,,,,against president trump; against ice raids and immigrant deportations,against trump against ice raid immigrant deportation,Against,0,2,0,2,False,True,False,True,False,True,True,True
2025-02-17,Farmington,NM,Farmington,NM,San Juan County,35045.0,36.728058,-108.218686,1206 East 20th Street,Protest to Save Our Democracy,demonstration,50501 movement; indivisible san juan,,,president trump; elon musk,against president trump's abuse of power; against elon musk; for democracy; for civil rights; against project 2025,,civil rights; democracy; war and peace; presidency,,civil rights;democracy;presidency;war and peace,1.0,,,0,,,,,0,,,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,SH,events.pol-rev.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,against president trump's abuse of power; against elon musk; for democracy; for civil rights; against project 2025,against trump abuse power against elon musk for democracy for civil right against project,Against,0,3,0,3,True,True,True,True,False,True,True,True
2025-02-17,Salt Lake City,UT,Salt Lake City,UT,Salt Lake County,49035.0,40.7607793,-111.8910474,Utah State Capitol,,demonstration,50501 moverment,,,president trump,against the trump administration's abuse of power,usa flag; trans pride flag; rainbow pride flag; please keep caring; trump is not my president; got to go fascism has got to go; punching nazis is always cool; what is that god-awful wet doge smell,war and peace; presidency,democracy; lgbtqia; war and peace; patriotism; presidency; religion,democracy;lgbtqia;patriotism;presidency;religion;war and peace,1.0,1.0,20250217-slc-trump,0,hundreds,200.0,200.0,200.0,2,,on scene,4.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,AB; ML,www.fox13now.com,www.ksl.com,www.ksl.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,against the trump administration's abuse of power,against trump abuse power,Against,0,1,0,1,False,True,True,True,False,True,True,True
2025-02-17,Salt Lake City,UT,Salt Lake City,UT,Salt Lake County,49035.0,40.7607793,-111.8910474,Utah State Capitol,,counter-protest,,,,,against anti-trump protest,,war and peace; presidency,,presidency;war and peace,2.0,1.0,20250217-slc-trump,0,a,1.0,1.0,1.0,1,deployed pepper spray on at least 4 anti-Trump protesters; allegedly punched 1 man in the face; allegedly threw a beer can at protesters,on scene,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,Michael J. Christensen was booked for investigation,ML,www.ksl.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against anti-trump protest,against anti-trump protest,Against,0,0,0,2,True,True,False,True,True,True,True,True
2025-02-18,Huntington Beach,CA,Huntington Beach,CA,Orange County,6059.0,33.659484,-117.998803,Huntington Beach City Hall,,protest,,,,city council; donald trump,against huntington beach city council displaying a maga plaque at a public library; against donald trump; against racism,i will now engage in the time honored american tradition of peaceful civil disobedience,environment; war and peace; presidency; racism,war and peace,environment;presidency;racism;war and peace,1.0,1.0,,0,1.0,1.0,1.0,1.0,1,,on scene; arrested protester,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,arrested protester was ex-NFL Vikings punter Chris Kluwe,ML,nypost.com,kstp.com,www.nbcsports.com,www.usatoday.com,thehill.com,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against huntington beach city council displaying a maga plaque at a public library; against donald trump; against racism,against huntington beach city council display maga plaque public library against trump against racism,Against,0,1,1,3,True,True,False,True,True,True,True,True
2025-02-19,Huntington Beach,CA,Huntington Beach,CA,Orange County,6059.0,33.659484,-117.998803,"City Council Chambers, 2000 Main Street",,civil disobedience,none,,,,against city council hanging sign with maga acronym; against maga movement; against trump,,war and peace; presidency,,presidency;war and peace,0.0,1.0,,0,count video,1.0,1.0,1.0,1,moved to restricted area of council chamber,,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,,JP,www.nbcsports.com,x.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against city council hanging sign with maga acronym; against maga movement; against trump,against city council hang sign maga acronym against maga movement against trump,Against,0,1,2,3,True,True,False,True,True,True,True,True
2025-02-20,Los Angeles,CA,Los Angeles,CA,Los Angeles County,6037.0,34.052234,-118.243685,Garfield High School; Torres High School; Mariachi Plaza,,march,centro cso; seiu 721,LAUSD students,,president trump,against immigrants' deportation and family separation; against ice raids; against the trump adminstration's racist policies,stop donald trump!; raza si! migra no!; stop trump,immigration; war and peace; presidency; racism,immigration; war and peace; presidency,immigration;presidency;racism;war and peace,1.0,1.0,,0,,,,,0,walkout from 6 high schools then march to Mariachi Plaza; safety monitors formed a line in front of the police,"on scene; several LAPD police officers attempted to enter the plaza, but were met by safety monitors asking police not to enter; one officer reportedly aggressively pushed and knocked down a union organizer; called for backup until over 20 police arrived, many wearing helmets and batons",1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,SH,fightbacknews.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,against immigrants' deportation and family separation; against ice raids; against the trump administration's racist policies,against immigrant deportation family separation against ice raid against trump racist policy,Against,0,2,0,3,False,True,True,True,False,True,True,True
2025-02-26,Washington,DC,Washington,DC,District of Columbia,11001.0,38.9071923,-77.0368707,Cannon House Office,,protest; demonstration,,federal employees,,president trump,against president trump's recent mass firings of federal employees; against cuts to usaid,trump and rubio killing people with aids worldwide; stop the deadly global aid freeze; aids funding cuts kill,labor and workers rights; war and peace; presidency,healthcare; war and peace; presidency,healthcare;labor and workers rights;presidency;war and peace,1.0,1.0,,0,count pic,25.0,35.0,30.0,1,die-in,on scene,0.0,0.0,21.0,0.0,1,0,0,0,0.0,0.0,,ML,www.upi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,against president trump's recent mass firings of federal employees; against cuts to usaid,against trump recent mass firing federal employee against cut usaid,Against,0,2,0,2,True,True,False,True,True,True,True,True
2025-03-01,New York,NY,New York,NY,,36061.0,40.7127753,-74.0059728,"Tesla Dealer,  860 Washington St, Manhattan",Pull Plug on Elon Musk,protest; civil disobedience,rise and resist; indivisible,,,tesla; elon musk,against musk; against trump; against doge,usa flag; fuck elon; no oligarchs; no elon; musk is a douche; don⊙t buy a swasticar; nazi; no dictators in the usa; musk is out of control; fuck maga; no more business as usual!; stop the coup!; nobody voted for elon musk!; musk is stealing from you; boycott tesla; nazi punk fuck off [elon musk raising his arm]; this is the immigrant who took your job [ elon musk raising his arm]; overthrow the shadow president; pull the plug on musk; this billionaire is detroying our country [elon musk raising his arm]; usa flag; i'm stealing from you [elon musk]; doge is a criminal enterprise; make no mistake this is a coup; presidents are not kinds [donald trump]; resist the musk-trump coup,war and peace; presidency,democracy; economy; immigration; labor and workers rights; war and peace; patriotism; presidency,democracy;economy;immigration;labor and workers rights;patriotism;presidency;war and peace,1.0,1.0,,0,500; around 300; hundreds,200.0,500.0,350.0,2,"carried signs and chanted outside Tesla showroom; , two participants went inside the showroom and refused to leave, while six others sat at the front door and refused to move",,0.0,0.0,9.0,0.0,1,0,0,1,0.0,0.0,"one of the protesters said that a photographer accidentally swung his gear at the glass door, cracking it",JP; SH,bsky.app,www.pilotonline.com,www.amny.com,brooklyneagle.com,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,against musk; against trump; against doge,against musk against trump against doge,Against,0,2,0,3,True,True,False,False,True,True,True,True
2025-03-01,Reno,NV,Reno,NV,Washoe County,32031.0,39.529919,-119.8142691,"Congressman Mark Amodei’s office, 5310 Kietzke Lane",,protest,indivisible northern nevada; 3rd act,,,rep. mark amodei; president trump; elon musk,against rep. amodei's refusal to discuss the agenda of president trump and elon musk with his constituents; against president trump's policies; for immigrant rights; for democracy; in solidarity with ukraine,,democracy; foreign affairs; immigration; legislative; war and peace; presidency,,democracy;foreign affairs;immigration;legislative;presidency;war and peace,1.0,1.0,,0,nearly 1400,1400.0,1400.0,1400.0,3,,,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,SH,www.kolotv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,against rep. amodei's refusal to discuss the agenda of president trump and elon musk with his constituents; against president trump's policies; for immigrant rights; for democracy; in solidarity with ukraine,against rep amodeis refusal discuss agenda trump elon musk constituent against trump policy for immigrant right for democracy solidarity ukraine,Against,0,2,1,3,True,True,True,True,False,True,True,True
2025-03-04,Seattle,WA,Seattle,WA,King County,53033.0,47.6061389,-122.3328481,Henry M. Jackson Federal Building,,demonstration,,,,president trump; elon musk,against trump; against elon musk; against doge; for democracy,ukraine flag; usa flag; we stand united; impeach trump / disband doge / revoke all eos / we will fight fascism; this is a coup; trump and musk are gay for putin; trump is a russian asset / ukraine is our real ally,democracy; war and peace; presidency,democracy; foreign affairs; lgbtqia; war and peace; patriotism; presidency,democracy;foreign affairs;lgbtqia;patriotism;presidency;war and peace,1.0,1.0,,0,,,,,0,aplified sounds; vandalized Teslas,,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,,ML,www.fox13seattle.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,against trump; against elon musk; against doge; for democracy,against trump against elon musk against doge for democracy,Against,0,3,0,3,True,True,True,False,True,True,True,True
2025-03-07,North Charleston,SC,North Charleston,SC,Charleston County,45019.0,32.8769132,-80.0113869,"Mellow Mushroom, 4855 Tanger Outlet Blvd",,protest,,,,president trump; elon musk,against the trump administration; against elon musk's involvement in the trump administration; agaisnt the war in ukraine,long live ukraine,foreign affairs; war and peace; presidency,foreign affairs; war and peace,foreign affairs;presidency;war and peace,1.0,1.0,,0,a,1.0,1.0,1.0,1,set fire to multiple Tesla charging ports; accidentally set himself on fire,called to scene,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,"protester fled the scene before police arrived; reports of protester accidentally setting his clothing on fire; unclear if protester was injured; reported $60,000 worth of damage to the charging stations",ML,www.oregonlive.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against the trump administration; against elon musk's involvement in the trump administration; against the war in ukraine,against trump against elon musk involvement trump against war ukraine,Against,0,1,0,3,True,True,True,False,True,True,True,True
2025-03-08,Concord,MA,Concord,MA,Middlesex County,25017.0,42.460372,-71.348948,Main St & Park St,,demonstration,,,,,for womens rights; against the trump administration,women are not state property; rainbow pride flag; trans pride flag; tariffs are taxes on you; stop project 2025; usa flag; resist; protect our parks,war and peace; presidency; women's rights,democracy; lgbtqia; war and peace; patriotism; taxes; women's rights,democracy;lgbtqia;patriotism;presidency;taxes;war and peace;women's rights,1.0,1.0,,0,hundreds,200.0,200.0,200.0,2,,on scene; came after one protestor was hit by a car,1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,BO,www.concordmonitor.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,for womens rights; against the trump administration,for women right against trump,Against,0,1,0,1,False,True,True,True,False,True,True,True
